Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
LYMAN,2906,0.065,0.021,0,0.086,20230401,20230630
MOUNT VERNON,2907,0.065,0.023,0,0.088,20230401,20230630
SEDRO WOOLLEY,2908,0.065,0.021,0,0.086,20230401,20230630
SWINOMISH TRIBE - SKAGIT COUNTY,2909,0.065,0.017,0,0.082,20230401,20230630
SWINOMISH TRIBE - LA CONNER,2911,0.065,0.021,0,0.086,20230401,20230630
SAUK-SUIATTLE TRIBE - SKAGIT COUNTY,2915,0.065,0.017,0,0.082,20230401,20230630
SKAGIT-PTBA,2929,0.065,0.021,0,0.086,20230401,20230630
SWINOMISH TRIBE - SKAGIT - PTBA,2931,0.065,0.021,0,0.086,20230401,20230630
SAUK-SUIATTLE TRIBE - SKAGIT-PTBA,2933,0.065,0.021,0,0.086,20230401,20230630
SKAMANIA COUNTY,3000,0.065,0.012,0,0.077,20230401,20230630
NORTH BONNEVILLE,3001,0.065,0.012,0,0.077,20230401,20230630
STEVENSON,3002,0.065,0.012,0,0.077,20230401,20230630
SNOHOMISH COUNTY RTA,3100,0.065,0.028,0,0.093,20230401,20230630
ARLINGTON,3101,0.065,0.028,0,0.093,20230401,20230630
BRIER,3102,0.065,0.04,0,0.105,20230401,20230630
DARRINGTON,3103,0.065,0.026,0,0.091,20230401,20230630
EDMONDS,3104,0.065,0.04,0,0.105,20230401,20230630
EVERETT RTA,3105,0.065,0.034,0,0.099,20230401,20230630
GOLD BAR,3106,0.065,0.026,0,0.091,20230401,20230630
GRANITE FALLS,3107,0.065,0.026,0,0.091,20230401,20230630
INDEX,3108,0.065,0.026,0,0.091,20230401,20230630
LAKE STEVENS,3109,0.065,0.028,0,0.093,20230401,20230630
LYNNWOOD,3110,0.065,0.041,0,0.106,20230401,20230630
MARYSVILLE,3111,0.065,0.029,0,0.094,20230401,20230630
MONROE,3112,0.065,0.029,0,0.094,20230401,20230630
MOUNTLAKE TERRACE,3113,0.065,0.04,0,0.105,20230401,20230630
MUKILTEO,3114,0.065,0.041,0,0.106,20230401,20230630
SNOHOMISH CITY,3115,0.065,0.028,0,0.093,20230401,20230630
STANWOOD,3116,0.065,0.028,0,0.093,20230401,20230630
SULTAN,3117,0.065,0.026,0,0.091,20230401,20230630
WOODWAY,3118,0.065,0.04,0,0.105,20230401,20230630
MILL CREEK,3119,0.065,0.041,0,0.106,20230401,20230630
BOTHELL/SNOHOMISH,3120,0.065,0.04,0,0.105,20230401,20230630
